Product2Id,Product2.ProductCode,Product2.Name,Product2.Family
01tWC00000DCwWwYAL,SM-NSS-RNM-LOPNEW,Linux on Power-NewMaintenance,New Maintenance
01tWC00000DD1HTYA1,DM-IRM-RNM-ENFA,Enterprise Fax-NewMaintenance,New Maintenance
01tWC00000DD1MZYA1,GOA-GAM-RNM-GACCPN,GoAnywhere Cloud Connector Premium-NewMaintenance,New Maintenance
01tWC00000DD0AVYA1,SM-NSS-RRM-NSSWEA,NSS - Web Application Monitor-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1bqYAD,CS-PEP-RRM-PEPM,Powertech Exit Point Manager for IBM i-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1NNYA1,GOA-GAM-RNM-GAGLBN,GoAnywhere Gateway and Load Balancer-NewMaintenance,New Maintenance
01tWC00000DD21FYAT,FIM-TLC-RRM-TLCDERM,Tripwire Log Center for Desktops - EVAL-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1xkYAD,DM-DML-RRM-WSHRCR,WinSpool HTML Report Converter-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1OfYAL,GOA-GAM-RRM-GASLRM,GoAnywhere Services (legacy)-RenewalMaintenance,Renewal Maintenance
01tWC00000DCzhXYAT,BI-ISA-RNM-IAPRMNM,Insite Analytics - Premium-NewMaintenance,New Maintenance
01tWC00000DD22yYAD,BI-SDW-RRM-SDWBBERM,SEQUEL Data Warehouse Bundle - Bronze Edition-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1m4YAD,ES-SWG-RRM-SSSWGR,Structural Sanitization For SECURE Web Gateway-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1ANYA1,ES-SIG-RRM-DATARE,Data Redaction For SECURE ICAP Gateway Per Instance-RenewalMaintenance,Renewal Maintenance
01tWC00000DD22kYAD,GS-GSE-RNM-PBNM,Premium Bundle-NewMaintenance,New Maintenance
01tWC00000DD1Q9YAL,SM-HCS-RNM-IFDSNE,IFDS Suite-NewMaintenance,New Maintenance
01tWC00000DD1f3YAD,ES-SIG-RNM-SICGES,SECURE ICAP Gateway Essential Security Package Per User-NewMaintenance,New Maintenance
01tWC00000DD1jZYAT,BI-SDW-RRM-SDWRM,Sequel Data Warehouse-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1HoYAL,DP-DCL-RRM-EXCHFA,Exchange Capability Checker-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1bKYAT,CS-PDM-RNM-PDMIIR,Powertech Database Monitor for IBM i - Rapid Validation-NewMaintenance,New Maintenance
01tWC00000DD1kEYAT,BI-SQ-RNM-SEQUSB,SEQUEL SMB Bundle Included Users-NewMaintenance,New Maintenance
01tWC00000DCwVpYAL,BI-ISA-RNM-INSINE,Insite Analytics-NewMaintenance,New Maintenance
01tWC00000DD1Y1YAL,DM-IBM-RRM-REPOSR,Report Splitter-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1GaYAL,DM-DML-RRM-EFSLRM,Email File Server - Legacy-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1kAYAT,BI-SQ-RNM-SEQUSM,SEQUEL SMB Bundle Additional User-NewMaintenance,New Maintenance
01tWC00000DCzhgYAD,BI-SDW-RRM-SDWSBERM,Sequel Data Warehouse (RODIN) Select License - Bronze Edition-RenewalMaintenance,Renewal Maintenance
01tWC00000DCwW6YAL,DM-WFM-RRM-INTERE,Integration Toolkit-RenewalMaintenance,Renewal Maintenance
01tWC00000DCwVUYA1,DM-IFO-RRM-IFORFA,iForms Electronic Forms and Report Writer - Legacy-RenewalMaintenance,Renewal Maintenance
01tWC00000DD09RYAT,DM-DML-RRM-NCRM,Native Converters-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1adYAD,CS-PTA-RRM-PAIIDR,Powertech Antivirus for IBM i - Domino-RenewalMaintenance,Renewal Maintenance
01tWC00000DD210YAD,FIM-FIM-RRM-CCMEVRM,CCM - EVAL-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1eFYAT,ES-SEG-RRM-SECEMA,SECURE Email Gateway Elite Security Package-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1bGYAT,CS-PDM-RNM-PDMM,Powertech Database Monitor for IBM i - PMRT-NewMaintenance,New Maintenance
01tWC00000DD1uyYAD,CM-TQU-RRM-UTQORM,Unisys - TeamQuest PMLog OS2200-OTC-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1sVYAT,SM-VMC-RNM-VMUN,VMC - Universal Transaction Agent - Additional Script Runners-NewMaintenance,New Maintenance
01tWC00000DCxljYAD,DP-DC-RRM-TRM,Titus-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1bYYAT,CS-PEI-RNM-PEIIAI,Powertech Encryption for IBM i (Auto IFS Encryption Module)-NewMaintenance,New Maintenance
01tWC00000DD239YAD,SM-ROB-RNM-RBCANNM,"Robot Bundle - Console, Alert, Network-NewMaintenance",New Maintenance
01tWC00000DD1BDYA1,BI-DB-RNM-DEPLNE,Deployment Bundle-NewMaintenance,New Maintenance
01tWC00000DD1IyYAL,GOA-FIL-RNM-FCCCAN,FileCatalyst Concurrent Connections Additional-NewMaintenance,New Maintenance
01tWC00000DCxm6YAD,DP-DC-RRM-TMCRM,Titus Message Classification-RenewalMaintenance,Renewal Maintenance
01tWC00000DD19kYAD,DM-EU-RRM-DE4LRM,Data Export/400 - Legacy-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1OoYAL,GOA-GAM-RNM-GASBNM,GoAnywhere Starter Bundle-NewMaintenance,New Maintenance
01tWC00000DD19oYAD,SM-VMC-RNM-DMISBN,Data Monitor for iSeries Base-NewMaintenance,New Maintenance
01tWC00000DD23FYAT,SM-VMC-RNM-VOANM,VMC - Operations Agent-NewMaintenance,New Maintenance
