Id,IsPriceImpacting
0v7WC0000000TurYAE,true
0v7WC0000000TusYAE,true
0v7WC0000000TutYAE,true
0v7WC0000000TuuYAE,true
0v7WC0000000TuvYAE,true
0v7WC0000000TuwYAE,true
0v7WC0000000TuxYAE,true
0v7WC0000000TuyYAE,true
0v7WC0000000TuzYAE,true
0v7WC0000000Tv0YAE,true
0v7WC0000000Tv1YAE,true
0v7WC0000000Tv2YAE,true
0v7WC0000000Tv3YAE,true
0v7WC0000000Tv4YAE,true
0v7WC0000000Tv5YAE,true
0v7WC0000000Tv6YAE,true
0v7WC0000000Tv7YAE,true
0v7WC0000000Tv8YAE,true
0v7WC0000000Tv9YAE,true
0v7WC0000000TvAYAU,true
0v7WC0000000TvCYAU,true
0v7WC0000000TvFYAU,true
0v7WC0000000TvGYAU,true
0v7WC0000000UAzYAM,true
0v7WC0000000UB0YAM,true
