
===== SHEET: Quote (166r x 21c) =====
Still in Use	BSI Notes	API Name	Label	Type	Length	Precision	Scale	Required	Unique	External ID	Default Value	Formula	Help Text	Reference To	Relationship Name	Picklist Values	Createable	Updateable	Deprecated	Custom
Yes	Used by Avalara Tax SFDC package	AVA_SFCPQ__SalesTaxAmount__c	Sales Tax Amount	currency	0	14	2	No	No	No			Avalara Sales Tax Amount				Yes	Yes	No	Yes
No	Just a formula to pull text from lookup	AccountName__c	AccountName	string	1300	0	0	No	No	No		SBQQ__Account__r.Name					No	No	No	Yes
No		Current_Date__c	Current Date	date	0	0	0	No	No	No		TODAY()					No	No	No	Yes
No	Way to markup all quote line proces. Should be handled by standard RCA functionality	Custom_Markup__c	Custom Markup	percent	0	18	2	No	No	No			This add the (%) markup to the entire quote				Yes	Yes	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_CuteFTP_M_S__c	Discount CuteFTP M&S	percent	0	18	3	No	No	No			Maximum discount applied to a CuteFTP M&S product				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_CuteFTP__c	Discount CuteFTP	percent	0	18	3	No	No	No			CuteFTP product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFTArcus__c	Discount EFTArcus	percent	0	18	3	No	No	No			EFT Arcus product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFTLicenses__c	Discount EFTLicenses	percent	0	18	3	No	No	No			EFT Licenses product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFTMandS__c	Discount EFTM&S	percent	0	18	3	No	No	No			EFT M&S product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFT_Kenetix__c	Discount EFT Kenetix	percent	0	18	3	No	No	No			Kenetix product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_EFT_Tier__c	Discount EFT Tier	percent	0	18	3	No	No	No			Max Discount applied to EFT Tier bundle				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_ProServices__c	Discount ProServices	percent	0	18	3	No	No	No			ProServices product group Max discount applied				No	No	No	Yes
Maybe	These are used by teh quote approval workflow. Different product catagories have different approval thresholds.  These are globalscape specific and probably not needed for the Fortra Approval Matrix	Discount_WAFS__c	Discount WAFS	percent	0	18	3	No	No	No			WAFS product group Max discount applied				No	No	No	Yes
No	determines if the invoice should not be sent for post paid services. Should be handled by Certinia and Workday	DoNotInvoicePS__c	Do Not Auto Invoice PS	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Yes	Some customers require quote to be signed by both parties. This flag controls whether one signature block or two are shown in the PDF.	DualSignatures__c	Requires Dual Signatures	boolean	0	0	0	Yes	No	No	False		Check this box if the generated quote PDF will require both Globalscape and customers signature				Yes	Yes	No	Yes
No		Expected_Ren_Amount__c	Expected Ren Amount	currency	0	18	2	No	No	No		SBQQ__Opportunity2__r.SBQQ__RenewedContract__r.Expected_Ren_Amount__c					No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasArcusPlat__c	HasArcusPlat	boolean	0	0	0	Yes	No	No		IF( LinesArcusPlat__c > 0, true, false)					No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasArcusQuickStart__c	Has ArcusQuickStart	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasArcusStd__c	HasArcusStd	boolean	0	0	0	Yes	No	No		IF( LinesArcusStd__c > 0, true, false)					No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasPShours__c	HasPShours	double	0	18	0	No	No	No			Indicates that PS hours products are used on quote lines				No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasProfSvc__c	HasProfSvc	boolean	0	0	0	Yes	No	No		QLinesProfSvc__c > 0					No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasQuickStart__c	Has QuickStart	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasRequiredSOW__c	Has Required SOW	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasSubscriptions__c	HasSubscriptions	double	0	18	0	No	No	No			Quote has subscriptions items				No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	HasTraining__c	Has Training	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Accelerator__c	Has Accelerator	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Assessment__c	Has Assessment	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
No		Has_CustomerDiscount__c	Has CustomerDiscount	boolean	0	0	0	Yes	No	No		SBQQ__TotalCustomerDiscountAmount__c > 0					No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Cutover__c	Has Cutover	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_EFT_TAM__c	Has EFT TAM	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Health_Check__c	Has Health Check	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Hourly_TAM__c	Has Hourly TAM	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
No		Has_M_S__c	Has M&S	string	1300	0	0	No	No	No		IF(ISPICKVAL(Support_Type__c, "NoSupport"),"False","True")					No	No	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Migration__c	Has Migration	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Prepaid_Hours__c	Has Prepaid Hours	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
Maybe	These are all used to hide/show sections in quote PDF. Most of them are SOWs of what is included in standard service packages. Not sure how this can be handled in RCA	Has_Upgrade__c	Has Upgrade	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
No	Part of approval process for Services with custom SOWs. Should be handled by Certinia	IsPShoursApproved__c	IsPShoursApproved	boolean	0	0	0	Yes	No	No	False		To mark the quote has been approved with its PS hours offered				Yes	Yes	No	Yes
No		Is_Cloned__c	Is Cloned	boolean	0	0	0	Yes	No	No	False						Yes	Yes	No	Yes
No	Used for custom quote template logic no longer needed	Line_Item_MS_Count__c	Line Item MS Count	double	0	18	0	No	No	No							No	No	No	Yes
No	Used for custom quote template logic no longer needed	LinesArcusPlat__c	LinesArcusPlat	double	0	18	0	No	No	No							No	No	No	Yes
No	Used for custom quote template logic no longer needed	LinesArcusStd__c	LinesArcusStd	double	0	18	0	No	No	No							No	No	No	Yes
No	Used for custom quote template logic no longer needed	MSofLicense__c	M&S % of License	percent	0	18	2	No	No	No		if ( TotalLicenseCost__c > 0,_x000D_  _x000D_      (TotalMsCost__c_x000D_             /_x000D_        (((SBQQ__EndDate__c - SBQQ__StartDate__c) + 1)/365.0)_x000D_       )_x000D_ _x000D_      / _x000D_ _x000D_      TotalLicenseCost__c ,_x000D_ _x000D_    0_x000D_ )	The percentage of the M&S total cost, in relation to the total cost of License sales.				No	No	No	Yes
Yes		Name	Quote Number	string	80	0	0	Yes	No	No							No	No	No	No
No		New_Discount__c	New Discount	percent	0	18	3	No	No	No							No	No	No	Yes
Yes		OpportunityName__c	OpportunityName	string	1300	0	0	No	No	No		SBQQ__Opportunity2__r.Name					No	No	No	Yes
No		Other_Subtotal__c	Other Subtotal	currency	0	18	2	No	No	No		SBQQ__NetAmount__c - Prof_Srvc_Net_Total__c					No	No	No	Yes
Yes		Partner_Contact__c	Partner Contact	reference	18	0	0	No	No	No				Contact	Partner_Contact__r		Yes	Yes	No	Yes
Yes		PrimaryContactName__c	Primary Contact Name	string	1300	0	0	No	No	No		if ( ISBLANK(SBQQ__PrimaryContact__c),_x000D_    _x000D_     ''_x000D_ ,_x000D_      SBQQ__PrimaryContact__r.FirstName + ' ' + SBQQ__PrimaryContact__r.LastName_x000D_ _x000D_ )					No	No	No	Yes
No		Prof_Srvc_Net_Total__c	Prof Srvc Net Total	currency	0	18	2	No	No	No							Yes	Yes	No	Yes
No		QLinesProfSvc__c	QLinesProfSvc	double	0	18	0	No	No	No							No	No	No	Yes
No		QuoteOne__c	QuoteOne	double	0	18	0	No	No	No		1					No	No	No	Yes
No		Quote_Lines_Export_Report__c	Quote Lines Export Report	string	1300	0	0	No	No	No		HYPERLINK( "https://globalscape.lightning.force.com/lightning/r/Report/00O1C000007ZYPUUA4/view?fv0="& Id ,"Quote Export Report" )					No	No	No	Yes
No		Quote_Name__c	Quote Name	string	50	0	0	No	No	No							No	No	No	Yes
No		Quote_Template_Frla__c	Quote Template Frla	string	1300	0	0	No	No	No		/* Direct case first then indirect */_x000D_ CASE( IF( ISBLANK ( SBQQ__Distributor__c ) && ISBLANK(  SBQQ__Partner__c  ) , "Direct","Indirect")_x000D_ , "Direct",_x000D_ (IF ( HasSubscriptions__c > 0, 'a2L1C000003nWcZ',_x000D_ IF ( HasArcusPlat__c || HasArcusStd__c || HasArcusCustom__c, 'a2L1C000000RysB',_x000D_ IF ( ISPICKVAL( SBQQ__Type__c , 'Renewal'), 'a2L1C000000SEcL',_x000D_ 'a2L1C000000Rzmd'_x000D_ )))_x000D_ )_x000D_ ,"Indirect", /* Indirect */_x000D_ (IF ( HasSubscriptions__c > 0, 'a2L1C000003nWce',_x000D_ IF ( HasArcusPlat__c || HasArcusStd__c || HasArcusCustom__c, 'a2L1C000000S072',_x000D_ IF ( ISPICKVAL( SBQQ__Type__c , 'Renewal'), 'a2L1C000000SEcf',_x000D_ 'a2L1C000000Rzqz'_x000D_ )))_x000D_ )_x000D_ , "unknown")	Quote Template Id recommended by Formula				No	No	No	Yes
Mabye	Approved Quote & Unapproved Quote. Used to show different forms with different options and button when a quote is approved vs not approved	RecordTypeId	Record Type ID	reference	18	0	0	No	No	No				RecordType	RecordType		Yes	Yes	No	No
